x,y,z,g
9.02494537,-58.06807921,3.72520632,168
7.77315247,-57.81516109,3.92457479,170
7.3603183,-57.63888381,3.98161596,170
3.77968323,-45.64490662,3.50180048,166
3.34814178,-46.15142975,3.62615103,167
2.94661438,-44.93552551,3.58449072,167
2.56069672,-46.26573334,3.77769751,169
0.63062775,-58.77974538,5.29129881,182
0.41543304,-58.16860805,5.27278418,181
-0.18082703,-31.46739349,2.88757104,161
-1.06800354,-53.76886187,5.12831301,180
-0.70295227,-30.96457062,2.93434686,162
-0.90832031,-30.64466248,2.94136995,162
-1.46854675,-29.40007935,2.92588681,162
-1.98569,-29.62695465,3.04008001,162
-2.1918515,-29.61231384,3.07581228,163
-2.41140211,-29.81459198,3.13421721,163
-3.15618361,-31.03138123,3.38183779,165
12.0740863,-54.39924059,4.82127279,177
9.94597351,-56.60525713,5.46910185,183
6.7480365,-45.70238647,4.6196813,176
6.4801923,-46.05256042,4.71128839,177
6.46313297,-47.03609619,4.84087461,178
7.73010742,-57.70899794,5.99530024,187
5.08305847,-43.68029938,4.64928526,176
4.7794696,-45.06526337,4.88115114,178
4.56715118,-44.5046402,4.84609312,178
4.35793793,-43.9352356,4.80938238,177
4.03464233,-43.70040283,4.83593458,178
4.55202972,-57.98132167,6.58804411,192
3.14133942,-46.0931488,5.30257982,182
3.04398834,-47.01603851,5.439084,183
3.03473389,-49.5127121,5.76316065,185
2.90430939,-50.1932312,5.87420172,186
2.33260834,-42.76277313,5.0160169,179
1.70248901,-41.61516724,4.97995466,179
1.54965698,-41.3199707,4.96908468,179
1.24188721,-45.97460327,5.62556356,184
0.29505646,-46.17494354,5.82144636,186
0.00687134,-31.17774353,3.93512815,170
-0.09842957,-31.00447998,3.93172354,170
-0.19117249,-29.52614746,3.75741095,169
-0.54357422,-31.96118317,4.13581747,172
-0.60309875,-29.51448975,3.83041376,169
-0.81687439,-29.94853363,3.92527384,170
-0.90211761,-29.43196259,3.87400621,170
-1.11925018,-29.86380157,3.96927732,170
-1.30837524,-29.54554901,3.96260637,170
-1.51348389,-29.6059967,4.00783819,171
-1.70548523,-29.43164215,4.02041239,171
-1.82907379,-29.79071198,4.089405,171
7.56581604,-44.96382294,6.01418776,188
7.37154877,-44.73907623,6.00988096,188
6.78056061,-43.990625,5.98647017,187
4.78674042,-43.93339691,6.31768602,190
3.77753937,-42.76410828,6.29980177,190
